2022-09-11 00:09:591 INFO  StartPage :59 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (263b7ad15ea56392322638f0f3c73e6f)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-11 00:09:653 INFO  StartPage :63 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (263b7ad15ea56392322638f0f3c73e6f)] -> id: next-button]
2022-09-11 00:09:350 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-11 00:09:185 INFO  StartPage :59 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (46faa85d6cc5b5f4a1ef00f76008ec88)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-11 00:09:992 INFO  StartPage :63 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (46faa85d6cc5b5f4a1ef00f76008ec88)] -> id: next-button]
2022-09-11 00:09:448 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-11 00:09:723 INFO  StartPage :62 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (19188096dc3971890fd5745465bfc5e5)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-11 00:09:330 INFO  StartPage :67 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (19188096dc3971890fd5745465bfc5e5)] -> id: next-button]
2022-09-11 00:09:863 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-11 00:09:940 INFO  StartPage :62 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (ee87dc490c2f304a93b3265f2e3c050a)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-11 00:09:263 INFO  StartPage :67 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (ee87dc490c2f304a93b3265f2e3c050a)] -> id: next-button]
2022-09-11 00:09:02 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-11 00:09:700 INFO  StartPage :62 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (97ec61b1e2748e9ed2cf579df0ae9649)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-11 00:09:951 INFO  StartPage :67 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (97ec61b1e2748e9ed2cf579df0ae9649)] -> id: next-button]
2022-09-11 00:09:602 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-11 00:09:814 INFO  StartPage :67 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (07b9f468efb9f2f2f3722bf4353f2abc)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-11 00:09:28 INFO  StartPage :72 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (07b9f468efb9f2f2f3722bf4353f2abc)] -> id: next-button]
2022-09-11 00:09:107 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-11 00:09:562 INFO  StartPage :67 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (2d85308738177812577f371c8b8babad)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-11 00:09:190 INFO  StartPage :72 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (2d85308738177812577f371c8b8babad)] -> id: next-button]
2022-09-11 01:09:673 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-11 01:09:819 INFO  StartPage :67 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (424d9572a3528077d0f983d55a3d9804)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-11 01:09:805 INFO  StartPage :72 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (424d9572a3528077d0f983d55a3d9804)] -> id: next-button]
2022-09-11 11:09:438 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-11 11:09:346 INFO  StartPage :71 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (9ecfe60e45a68ea2fbda1e83b2690c26)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-11 11:09:977 INFO  StartPage :76 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (9ecfe60e45a68ea2fbda1e83b2690c26)] -> id: next-button]
2022-09-11 11:09:946 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-11 11:09:846 INFO  StartPage :71 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (681349d4c1857de0a78c1e57001b503d)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-11 11:09:730 INFO  StartPage :76 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (681349d4c1857de0a78c1e57001b503d)] -> id: next-button]
2022-09-11 13:09:687 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-11 13:09:829 INFO  StartPage :71 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (c73c55c5a6a3ad43a694f05e2f6c1801)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-11 13:09:505 INFO  StartPage :76 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (c73c55c5a6a3ad43a694f05e2f6c1801)] -> id: next-button]
2022-09-11 14:09:07 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-11 14:09:492 INFO  StartPage :70 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-11 14:09:706 INFO  StartPage :75 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> id: next-button]
2022-09-11 14:09:120 INFO  StartPage :86 - Clicking on the 'WalesCountry' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //label[@id='label-wales']]
2022-09-11 14:09:769 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:456 INFO  StartPage :91 - Clicking on the 'YesButton' button: Proxy element for: DefaultElementLocator 'By.xpath: //label[@id='label-wales']'
